date time,date,time,seconds since 1970,Water Temperature @1.0m,CurrentDirection @7.0m,CurrentMagnitude @7.0m,Turbidity @26.0m,Water Pressure @26.0m,Water Temperature @26.0m,PAR @26.0m
2014-04-05T00:00:00+1000,5/04/2014,0:00:00,1.40E+09,27.3058,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-06T00:00:00+1000,6/04/2014,0:00:00,1.40E+09,27.325,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-07T00:00:00+1000,7/04/2014,0:00:00,1.40E+09,27.3033,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-08T00:00:00+1000,8/04/2014,0:00:00,1.40E+09,27.2405,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-09T00:00:00+1000,9/04/2014,0:00:00,1.40E+09,27.1721,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-10T00:00:00+1000,10/04/2014,0:00:00,1.40E+09,27.1159,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-11T00:00:00+1000,11/04/2014,0:00:00,1.40E+09,27.0872,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-12T00:00:00+1000,12/04/2014,0:00:00,1.40E+09,27.0402,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-13T00:00:00+1000,13/04/2014,0:00:00,1.40E+09,26.9215,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-14T00:00:00+1000,14/04/2014,0:00:00,1.40E+09,26.9981,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-15T00:00:00+1000,15/04/2014,0:00:00,1.40E+09,27.0235,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-16T00:00:00+1000,16/04/2014,0:00:00,1.40E+09,27.0064,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-17T00:00:00+1000,17/04/2014,0:00:00,1.40E+09,27.0117,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-18T00:00:00+1000,18/04/2014,0:00:00,1.40E+09,26.9993,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-19T00:00:00+1000,19/04/2014,0:00:00,1.40E+09,27.0117,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-20T00:00:00+1000,20/04/2014,0:00:00,1.40E+09,26.914,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-21T00:00:00+1000,21/04/2014,0:00:00,1.40E+09,26.7791,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-22T00:00:00+1000,22/04/2014,0:00:00,1.40E+09,26.6447,Not available,Not available,Not available,Not available,Not available,Not available
